filename,seconddur,milliseconddur
573_617_B3.wav,2.111354167,2111.354167
573_618_B3.wav,1.685958333,1685.958333
573_619_B3.wav,2.605333333,2605.333333
573_620_B3.wav,1.949604167,1949.604167
573_621_B4.wav,2.334083333,2334.083333
573_622_B4.wav,2.102145833,2102.145833
573_623_B4.wav,2.27475,2274.75
573_624_redo2.wav,2.5351875,2535.1875
573_625_B3.wav,2.698375,2698.375
573_701_B2.wav,2.336916667,2336.916667
573_702_redo.wav,2.040041667,2040.041667
573_704_B3.wav,2.711666667,2711.666667
573_705_B3.wav,2.685520833,2685.520833
573_707_B3.wav,2.57525,2575.25
573_708_B3.wav,2.612291667,2612.291667
573_709_B4.wav,1.967166667,1967.166667
573_710_B4.wav,2.110333333,2110.333333
573_713_B3.wav,2.366020833,2366.020833
573_714_B3.wav,2.704916667,2704.916667
573_715_B3.wav,3.019895833,3019.895833
573_716_B3.wav,2.8791875,2879.1875
573_717_B4.wav,2.225354167,2225.354167
573_718_B4.wav,2.3574375,2357.4375
573_719_B4.wav,2.8503125,2850.3125
573_720_B3.wav,2.5433125,2543.3125
573_721_B4.wav,1.974208333,1974.208333
573_722_B3.wav,2.315854167,2315.854167
573_723_B3.wav,2.519666667,2519.666667
573_724_B3.wav,2.464083333,2464.083333
573_725_B3.wav,2.259208333,2259.208333
573_726_B4.wav,2.130416667,2130.416667
573_727_B3.wav,2.465166667,2465.166667
752_501_B2_2.wav,2.038645833,2038.645833
752_502_B1.wav,1.856645833,1856.645833
752_503_B2.wav,2.016520833,2016.520833
752_505_B2.wav,1.974666667,1974.666667
752_506_B2.wav,2.0956875,2095.6875
752_507_B2.wav,1.701125,1701.125
752_508_B2.wav,2.049895833,2049.895833
752_509_B2.wav,1.810458333,1810.458333
752_510_B2.wav,1.724354167,1724.354167
752_511_B2.wav,1.658833333,1658.833333
752_512_B2.wav,1.867416667,1867.416667
752_513_B2.wav,1.693,1693
752_515_B2.wav,1.875625,1875.625
752_516_B1.wav,1.777625,1777.625
752_518_B2.wav,1.854625,1854.625
752_519_B2.wav,2.00925,2009.25
752_520_B1.wav,2.172666667,2172.666667
752_521_redo.wav,1.724,1724
752_522_B2.wav,1.555333333,1555.333333
752_523_B2.wav,2.115604167,2115.604167
752_524_B2.wav,1.828,1828
752_526_B2.wav,1.866333333,1866.333333
752_527_B2.wav,1.8788125,1878.8125
752_531_B1.wav,1.928270833,1928.270833
752_532_B2.wav,1.5296875,1529.6875
752_533_B2.wav,1.6665,1666.5
752_534_B2.wav,2.170666667,2170.666667
752_535_B2.wav,1.831958333,1831.958333
752_537_B2.wav,2.1115,2111.5
752_538_B1.wav,2.001479167,2001.479167
752_539_B2.wav,2.1195625,2119.5625
752_540_B1.wav,2.1463125,2146.3125
752_601_B1.wav,2.5385,2538.5
752_602_B4.wav,2.428041667,2428.041667
752_603_B4.wav,2.607645833,2607.645833
752_604_B4.wav,2.201875,2201.875
752_605_B3.wav,2.782583333,2782.583333
752_606_B4.wav,1.9756875,1975.6875
752_607_B4.wav,2.161958333,2161.958333
752_608_B4.wav,2.128708333,2128.708333
752_609_B4.wav,2.481270833,2481.270833
752_610_B4.wav,2.0355625,2035.5625
752_611_B3.wav,2.688104167,2688.104167
752_612_B3.wav,2.5873125,2587.3125
752_613_B3.wav,2.3389375,2338.9375
752_614_B4.wav,1.975708333,1975.708333
752_615_B3.wav,2.269604167,2269.604167
752_616_B4.wav,2.4230625,2423.0625
752_617_B4.wav,2.184625,2184.625
752_618_B4.wav,2.255083333,2255.083333
752_619_B4.wav,2.581854167,2581.854167
752_620_B3.wav,2.331020833,2331.020833
752_621_B4.wav,2.600854167,2600.854167
752_622_B4.wav,2.26175,2261.75
752_623_B3.wav,2.961979167,2961.979167
752_624_B4.wav,2.760645833,2760.645833
752_625_B4.wav,2.594354167,2594.354167
752_701_B2.wav,2.4581875,2458.1875
752_702_B1.wav,2.8080625,2808.0625
752_704_B3.wav,2.6354375,2635.4375
752_705_B4.wav,2.767333333,2767.333333
752_707_B3.wav,3.099895833,3099.895833
752_708_B4.wav,2.608770833,2608.770833
752_709_B4.wav,2.235145833,2235.145833
752_710_B4.wav,2.487916667,2487.916667
752_713_B4.wav,2.593625,2593.625
752_714_B4.wav,2.9469375,2946.9375
752_715_B3.wav,3.734520833,3734.520833
752_716_B4.wav,2.793916667,2793.916667
752_717_B3.wav,2.494958333,2494.958333
752_718_redo2.wav,2.725416667,2725.416667
752_719_B4.wav,3.033395833,3033.395833
752_720_B3.wav,3.207354167,3207.354167
752_721_B4.wav,2.1553125,2155.3125
752_722_B4.wav,1.993729167,1993.729167
752_723_B4.wav,2.458333333,2458.333333
752_724_B3.wav,2.586020833,2586.020833
752_725_B4.wav,2.5465625,2546.5625
752_726_B4.wav,2.374833333,2374.833333
752_727_B4.wav,2.547791667,2547.791667
955_501_B2.wav,1.63525,1635.25
955_502_B1.wav,2.079479167,2079.479167
955_503_B2.wav,1.429333333,1429.333333
955_505_B1.wav,1.568854167,1568.854167
955_506_redo.wav,2.083479167,2083.479167
955_507_B2.wav,1.746958333,1746.958333
955_508_B1.wav,2.1509375,2150.9375
955_509_redo.wav,1.859479167,1859.479167
955_510_B1.wav,1.565541667,1565.541667
955_511_B1.wav,1.595125,1595.125
955_512_B1.wav,1.847125,1847.125
955_513_B2.wav,1.570875,1570.875
955_515_B1.wav,1.8500625,1850.0625
955_516_B1.wav,1.550375,1550.375
955_518_B2.wav,1.888875,1888.875
955_519_redo.wav,2.396354167,2396.354167
955_520_B2.wav,1.664625,1664.625
955_521_B1.wav,2.0273125,2027.3125
955_522_redo.wav,1.619270833,1619.270833
955_523_B2.wav,1.989229167,1989.229167
955_524_B2.wav,1.686395833,1686.395833
955_526_B1.wav,2.714354167,2714.354167
955_527_B2.wav,1.462541667,1462.541667
955_531_B2.wav,1.634895833,1634.895833
955_532_B2.wav,1.370291667,1370.291667
955_533_B1.wav,1.647270833,1647.270833
955_534_B2.wav,1.586729167,1586.729167
955_535_B1.wav,1.9755,1975.5
955_537_B2.wav,2.4046875,2404.6875
955_538_redo.wav,1.7076875,1707.6875
955_539_B2.wav,2.482145833,2482.145833
955_540_redo.wav,2.330645833,2330.645833
955_601_B2.wav,2.157916667,2157.916667
955_602_redo.wav,2.3209375,2320.9375
955_603_redo.wav,2.6306875,2630.6875
955_604_redo.wav,2.116770833,2116.770833
955_605_redo.wav,2.51875,2518.75
955_606_redo.wav,2.447520833,2447.520833
955_607_B3.wav,2.264229167,2264.229167
955_608_B3.wav,1.9205625,1920.5625
955_609_B4.wav,2.264666667,2264.666667
955_610_redo.wav,2.1269375,2126.9375
955_611_redo.wav,3.130104167,3130.104167
955_612_B4.wav,2.677208333,2677.208333
955_613_B4.wav,2.248520833,2248.520833
955_614_B4.wav,2.143520833,2143.520833
955_615_B3.wav,2.319333333,2319.333333
955_616_B4.wav,2.202645833,2202.645833
955_617_B3.wav,2.042645833,2042.645833
955_618_B3.wav,2.272520833,2272.520833
955_619_B4.wav,2.605583333,2605.583333
955_620_redo.wav,2.333770833,2333.770833
955_621_B4.wav,2.662916667,2662.916667
955_622_redo.wav,2.288104167,2288.104167
955_623_redo.wav,2.837083333,2837.083333
955_624_B4.wav,2.680395833,2680.395833
955_625_B4.wav,3.616020833,3616.020833
955_701_B2.wav,2.9846875,2984.6875
955_702_redo.wav,2.3968125,2396.8125
955_704_B4.wav,3.7578125,3757.8125
955_705_B4.wav,2.320541667,2320.541667
955_707_B4.wav,3.1059375,3105.9375
