subject_id,understood,age,gender,race,ethnicity,education,language
5ee5e3b02eebe932ee9559c5,TRUE,36,Male,White,Caucasian,Some college,English
694cbd12586b3cac3dc05175,TRUE,43,FEMALE,WHITE,AMERICAN,Some college,ENGLISH
62cb2fda77bec729c86fbbba,TRUE,42,male,American,White,Graduated college,English
5c04872c55614800012b7cf0,TRUE,27,female,white,American,Hold a higher degree,English
65bf99712dfa1f05ee0333c8,TRUE,37,female,asian white,japanese american,Graduated college,english
60bff9298f56d55c8ecd9adf,TRUE,35,female,white,Not Hispanic,Graduated college,English
5e0857276aab7c17f7e21662,TRUE,40,Male,White,Caucasian,Graduated college,English
64010f32f8dee9772983c7cd,TRUE,30,man,white,white,Some college,English
65f4ab7884f8411c9e11a34e,TRUE,33,Male,White,United States,Some college,English
67dc70145c70ad07748b3f1b,TRUE,29,Male,White,Caucasian,Hold a higher degree,English
68423451060859f8ce31ee5a,TRUE,40,Female,White,White,Hold a higher degree,English
65f0f44f1cae5992a2cc2c8b,TRUE,44,Male,White,Non Hispanic,Some college,English
6535785fea3f8466589b948c,TRUE,48,female,black,black,Hold a higher degree,english
63e51bd9b573cd46809e1d56,TRUE,31,Male,Korean American,Asian,Some college,Korean and English
5f4ee7ff2c5da213f015a27e,TRUE,39,female,white,white,Some college,English
67e48f46ac070276b3bc9cfa,TRUE,32,male,Black American,Black American,Hold a higher degree,English
664b8bef90cdb799d4c4c35d,TRUE,31,Male,White,White,Graduated college,English
67cb4f07e42b150f96dc180b,TRUE,53,Female,White,United States,Graduated college,English
696959b11a4dfb3881c84764,FALSE,34,female,white,white,Graduated college,English
670986a5426f021bc209dd58,TRUE,20,Male/Man,White,European,Some high school,English
5f10c042f7c99025e79ec306,TRUE,24,Female,Mixed race,Hispanic,Some college,English
695f9f814c128ad2468d5424,TRUE,30,Cis male,White,White,Graduated college,English
610920f0107bd72ff209c20f,TRUE,32,female,white,american,Hold a higher degree,English
66536cb297679f61ff2cc0cf,TRUE,23,female,african american,not latino/a,Some college,english
670160e896ff65768997d75f,TRUE,55,female,white,USA,Graduated college,English
67dd46602623d4bf857f7fa2,TRUE,28,male,American,Latino,Hold a higher degree,English
5df6818e2b12bd474abc4c9d,TRUE,34,female,prefer not to say,prefer not to say,Prefer not to answer,english
