subject_id,understood,age,gender,race,ethnicity,education,language
5a068d5b074b190001251791,TRUE,42,Male,White,American,None,English
696e7f24e144cadb9d5e4cf8,TRUE,28,nonbinary,white,white,Graduated high school,english
5d30790f326b0f0017a2a828,TRUE,30,Male,White,American,Some college,English
606cf604adbb6982bb382881,TRUE,40,Male,White,White,Some high school,English
680cf3759bbfca13d68e130a,TRUE,57,M,Caucasian,USA,Graduated college,English
63d3f99eac52371a49e65825,TRUE,29,female,caucasian,caucasian,Graduated college,english
5e8cf14c0bec230b335e060d,TRUE,50,Female,Caribbean/West Indian,Caribbean/West Indian,Graduated high school,English
573348527d01ed000f8f1615,TRUE,37,female,white,"white, American",Graduated college,English
695bf3c4191515bb9c81f777,TRUE,30,Female,White,Nonhispanic,Hold a higher degree,English
62854bc2a3bb1ddef989b6b7,TRUE,35,Male,White,American,Graduated high school,English
570d30d942a1db000fc4cf87,TRUE,63,Female,White,American,Graduated high school,English
6959ac694f14786b0b9ae82f,TRUE,41,Male,Caucasian,Caucasian,Graduated college,English
6571d671bd27124fc516adba,TRUE,50,female,white,hispanic,Some college,english
5c01d3c509e9c70001500b10,TRUE,35,female,Bi racial,None,Graduated college,English
55b9a9b0fdf99b6906d2aba4,TRUE,70,Male,white European,American non hispanic,Some college,English
651b1eb597d19205a5069db5,TRUE,42,female,white,caucasian,Some college,English
5d311667f6df9d00011af0e1,TRUE,44,f,asian,asian,Graduated college,english
65c6bbe7f9428763522fa244,TRUE,32,female,black,American,Some college,english
5ca3bd506c848000011d0afa,FALSE,48,male,white,amercan,Graduated college,english
695fab7742f8b49103425c6b,TRUE,26,Cis female,White,Non Hispanic,Graduated college,English
67e92dbd9199b830fbecdf2e,TRUE,28,Male,White,White,Graduated college,English
657619485d6869976045a220,TRUE,50,Male,White,Caucasian,Some college,English
63b0888e6716ff9bc2cda151,TRUE,54,Male,Mixed race,American and Asian,Graduated college,English
568e7e33e3ef9e000da202a7,TRUE,60,Female,White,American,Some college,English
697cdbdf5efb6b234117f3ca,TRUE,23,Female,White,White,Graduated high school,English
66293a5710fb93854b181793,TRUE,43,FEMALE,WHITE,WHITE,Some college,ENGLISH
67b71cbc30104a66109a2bbf,TRUE,57,Female,White,Caucasian,Hold a higher degree,English
60ff26e2e30862fdb8531934,TRUE,33,female,white,american,Some college,english
680d155019b77b986ff85126,TRUE,66,Female,white,white,Graduated high school,English
6945b7f9c69fe2317b25e4a2,TRUE,30,Female,Black,Afro-Caribbean,Hold a higher degree,English
69440f7e80a4386d25e90198,TRUE,38,female,white,white,Hold a higher degree,english
5d0dca2cecd8f60017eaddb3,TRUE,39,Male,White,White,Some college,English
672ce4b6444bb28ed1573e5a,TRUE,41,Male,Black / White,Black / white American,Graduated college,English
641385c88f29eb3264283818,TRUE,60,male,caucasian,American,Hold a higher degree,English
62713a003caa3feec5c6a0ba,TRUE,34,Male,White,White,Graduated high school,English
67f80601e44359732a7f2af4,TRUE,64,Female,Black,African American,Hold a higher degree,English
683667d92d0bfb2cf3f5c7a6,TRUE,26,Female,White,European American,Graduated college,"English, German"
69435bc6da88ff735f1192fc,TRUE,53,male,white,None,Some college,english
65fc9f54bf0a6174674f0851,TRUE,48,female,white,American,Some college,english
67a8d4209cbe02ab001f208a,TRUE,44,Male,White,White,Hold a higher degree,English
666545416b4645950f75ba15,TRUE,37,Woman,White,White American/Italian/Polish,Some college,English
5a2f1f0f2937000001eae2b1,TRUE,32,Male,White,Norwegian American,Graduated high school,English
5cb489ff0cd1ed0017465d19,TRUE,36,male,white,american,Graduated high school,English
6332274d72eff2df47171a78,TRUE,51,Male,White,Non-hispanic,Some college,English
663e26ccdbc470527165388b,TRUE,58,female,white,European,Graduated college,English
65639bc09216e3f40fcd1d4b,TRUE,49,Woman,White,European/ American,Some college,English
695fbf5f32df133a03cd128b,TRUE,25,Male,White,Caucasian,Graduated high school,English
583ef6f5ad2f4300014b358d,TRUE,34,female,white/Caucasian,American white/caucasian,Graduated high school,english
5e2d219d88448733af1fa129,TRUE,20,Male,White,Russian,Some college,None
5d3695969749cc00165c222f,TRUE,30,Male,White,American,Some college,English
67a507f52decb8dbaacc29e3,TRUE,36,Man,African American,Black American,Graduated college,English
66bba69a028672278914afe8,TRUE,36,male,asian,vietnamese,Hold a higher degree,english
695bd138312a5272042a8db4,TRUE,53,male,white,white,Graduated college,english
663e3c2794eaff8e68392199,TRUE,34,Female,Asian,Chinese,Graduated college,English
682cd328bd53185cbbb59840,TRUE,25,Woman,White,European,Graduated college,English
5fa45d41eb5d570b4841254d,TRUE,54,Female,White,American,Some college,English
696967a820034107da9a178c,TRUE,31,Male,Black,African American,Graduated college,English
67df2438f087a74ea30f779b,TRUE,34,Female,White,White,Graduated college,English
67d98fdc3119bc87d2012ac3,TRUE,41,Male,White,Not Hispanic or Latino,Graduated college,English
63d42c21dc6f4d60e34cc337,TRUE,46,male,Mexican American,Hispanic,Graduated high school,"English, Spanish"
666cd244c4e9f0b3a060c2c7,TRUE,50,female,white,European,Some college,English & German
666e123eb6aff45cf5be575e,TRUE,32,Female,White,European - British,Graduated college,English (US and UK dialect)
